id,text,tag
image1.jpg,sanmol,B-NAME
image1.jpg,forte,I-NAME
image1.jpg,paracetamol,B-ING
image1.jpg,tablet,B-TYPE
image1.jpg,penurun,B-DES
image1.jpg,panas,I-DES
image1.jpg,pereda,B-DES
image1.jpg,nyeri,I-DES
image1.jpg,isis,O
image1.jpg,4,O
image1.jpg,tablet,B-TYPE
image1.jpg,sanbe,B-ORG
image2.jpg,paratusin,B-NAME
image2.jpg,tablet,B-TYPE
image2.jpg,paracetamol,B-ING
image2.jpg,guaifenesin,B-ING
image2.jpg,noscapine,B-ING
image2.jpg,cos,O
image2.jpg,phenypropanolamine,B-ING
image2.jpg,hcl,I-ING
image2.jpg,chlorphenamine,B-ING
image2.jpg,maleate,I-ING
image2.jpg,strip,O
image2.jpg,10,O
image2.jpg,tablet,B-TYPE
image2.jpg,g,O
image2.jpg,komposisi,B-DES
image2.jpg,tap,O
image2.jpg,tablet,B-TYPE
image2.jpg,mengandung,B-DES
image2.jpg,500,O
image2.jpg,ng,O
image2.jpg,paracetanol,B-ING
image2.jpg,so,O
image2.jpg,ng,O
image2.jpg,guaifenesin,B-ING
image2.jpg,10,O
image2.jpg,ng,O
image2.jpg,darya-varia,B-ORG
image2.jpg,noscapine,B-ING
image2.jpg,ts,O
image2.jpg,ng,O
image2.jpg,fa,O
image2.jpg,phenylpropanolamine,B-ING
image2.jpg,ng,O
image2.jpg,maleate,I-ING
image2.jpg,chlorphenamine,B-ING
image3.jpg,ambroxol,B-NAME
image3.jpg,hcl,I-NAME
image3.jpg,30,O
image3.jpg,tablet,B-TYPE
image3.jpg,3omg,O
image3.jpg,e,O
image3.jpg,on,B-DES
image3.jpg,medical,I-DES
image3.jpg,prescription,I-DES
image3.jpg,only,I-DES
image4.jpg,sanmol,B-NAME
image4.jpg,paracetamol,B-ING
image4.jpg,tablet,B-TYPE
image4.jpg,penurun,B-DES
image4.jpg,panas,I-DES
image4.jpg,pereda,B-DES
image4.jpg,nyeri,I-DES
image4.jpg,isi,O
image4.jpg,4,O
image4.jpg,tablet,B-TYPE
image4.jpg,sanbe,B-ORG
image5.jpg,10,O
image5.jpg,10,O
image5.jpg,tablet,B-TYPE
image5.jpg,sinp,O
image5.jpg,ambroxol,B-NAME
image5.jpg,hci,I-NAME
image5.jpg,generik,O
image5.jpg,tablet,B-TYPE
image5.jpg,30,O
image5.jpg,mg,O
image5.jpg,harus,B-DES
image5.jpg,dengan,I-DES
image5.jpg,resep,I-DES
image5.jpg,dokter,I-DES
image5.jpg,kimia,B-ORG
image5.jpg,farma,I-ORG
image6.jpg,10,O
image6.jpg,10,O
image6.jpg,tablet,B-TYPE
image6.jpg,sind,O
image6.jpg,ambroxol,B-NAME
image6.jpg,hcl,I-NAME
image6.jpg,generik,O
image6.jpg,tablet,B-TYPE
image6.jpg,30,O
image6.jpg,mg,O
image6.jpg,harus,B-DES
image6.jpg,dengan,I-DES
image6.jpg,resep,I-DES
image6.jpg,dokter,I-DES
image6.jpg,kimia,B-ORG
image6.jpg,farma,I-ORG
image7.jpg,eeorn,O
image7.jpg,pla,O
image7.jpg,acid,O
image7.jpg,forte,I-NAME
image7.jpg,f,O
image7.jpg,ti,O
image7.jpg,di,O
image7.jpg,hydroxide,I-ING
image7.jpg,buninium,O
image7.jpg,ed,O
image7.jpg,ge,O
image7.jpg,magnesum,B-ING
image7.jpg,hydrox,O
image7.jpg,de,O
image7.jpg,kalbe,B-ORG
image7.jpg,simethicone,B-ING
image7.jpg,oont,O
image7.jpg,naloe,O
image7.jpg,sids,O
image7.jpg,deoe,O
image7.jpg,neus,O
image7.jpg,csiigzn,O
image7.jpg,dol,O
image7.jpg,plantacid,B-NAME
image7.jpg,forte,I-NAME
image7.jpg,aluminium,I-ING
image7.jpg,hydroxide,I-ING
image7.jpg,gel,I-ING
image7.jpg,dried,B-ING
image7.jpg,hydroxide,I-ING
image7.jpg,magnesium,B-ING
image7.jpg,kalbe,B-ORG
image7.jpg,simethicone,B-ING
image7.jpg,uyan,O
image7.jpg,pt,O
image7.jpg,kalbe,B-ORG
image7.jpg,farma,I-ORG
image7.jpg,ybl,O
image7.jpg,neelansa,O
image7.jpg,da,O
image7.jpg,lus,O
image7.jpg,lalag,O
image7.jpg,iiconcae,O
image7.jpg,rad,O
image7.jpg,forte,I-NAME
image7.jpg,plantacid,B-NAME
image7.jpg,hydroxide,I-ING
image7.jpg,dried,B-ING
image7.jpg,aluminium,I-ING
image7.jpg,gel,I-ING
image7.jpg,hy,O
image7.jpg,magnesium,B-ING
image7.jpg,kalbe,B-ORG
image7.jpg,methicone,O
image7.jpg,kunyah,O
image7.jpg,tablet,B-TYPE
image7.jpg,pt,O
image7.jpg,kal,O
image7.jpg,be,O
image7.jpg,tana,O
image7.jpg,ths,O
image7.jpg,na,O
image7.jpg,dolstczacinl,O
image7.jpg,baxes,O
image7.jpg,indonesia,O
image7.jpg,feg,O
image7.jpg,plantacid,B-NAME
image7.jpg,forte,I-NAME
image7.jpg,aluminium,I-ING
image7.jpg,hydroxide,I-ING
image7.jpg,gel,I-ING
image7.jpg,dried,B-ING
image7.jpg,hydroxide,I-ING
image7.jpg,magnesium,B-ING
image7.jpg,kalbe,B-ORG
image7.jpg,simethicone,B-ING
image7.jpg,blct,O
image7.jpg,kunyah,O
image7.jpg,prf,O
image7.jpg,be,O
image7.jpg,fafias,O
image7.jpg,tol,O
image7.jpg,emaut,O
image7.jpg,tackat,O
image7.jpg,steg,O
image7.jpg,dalos,O
image7.jpg,indcnues,O
image7.jpg,soo,O
image7.jpg,didz,O
image7.jpg,plantacid,B-NAME
image7.jpg,forte,I-NAME
image7.jpg,dried,B-ING
image7.jpg,aluminium,I-ING
